SIN3B_Expression,Group
7.163422644,Metastatic Melanoma
7.682405268,Metastatic Melanoma
6.927695688,Metastatic Melanoma
8.035695728,Metastatic Melanoma
7.339744209,Metastatic Melanoma
7.689870898,Metastatic Melanoma
7.90532455,Metastatic Melanoma
7.579755434,Metastatic Melanoma
7.608489915,Metastatic Melanoma
7.487467111,Metastatic Melanoma
7.375128287,Metastatic Melanoma
8.00205674,Metastatic Melanoma
7.020934324,Metastatic Melanoma
7.051329302,Metastatic Melanoma
6.659888849,Metastatic Melanoma
6.711575058,Metastatic Melanoma
6.847051916,Metastatic Melanoma
6.29788402,Metastatic Melanoma
6.699331064,Metastatic Melanoma
6.77500687,Metastatic Melanoma
6.95362441,Metastatic Melanoma
6.771557972,Metastatic Melanoma
6.321986568,Metastatic Melanoma
6.41644913,Metastatic Melanoma
6.467769404,Metastatic Melanoma
6.644821349,Metastatic Melanoma
6.324794202,Metastatic Melanoma
7.269581981,Metastatic Melanoma
6.509425482,Metastatic Melanoma
6.567240289,Metastatic Melanoma
6.94524334,Metastatic Melanoma
6.282976283,Metastatic Melanoma
6.525864486,Metastatic Melanoma
5.808550547,Metastatic Melanoma
6.382181026,Metastatic Melanoma
6.286348624,Metastatic Melanoma
5.666246004,Metastatic Melanoma
6.788490884,Metastatic Melanoma
6.894844397,Metastatic Melanoma
6.946856641,Metastatic Melanoma
6.944847027,Metastatic Melanoma
6.076913256,Metastatic Melanoma
6.585157132,Metastatic Melanoma
7.484302166,Metastatic Melanoma
6.739471251,Metastatic Melanoma
6.976895044,Metastatic Melanoma
7.195889791,Metastatic Melanoma
6.878385957,Metastatic Melanoma
6.88252744,Metastatic Melanoma
6.845403253,Metastatic Melanoma
6.219981475,Metastatic Melanoma
6.500295273,Metastatic Melanoma
6.672753386,Metastatic Melanoma
6.345658182,Metastatic Melanoma
6.667895159,Metastatic Melanoma
6.626585081,Metastatic Melanoma
6.936776075,Metastatic Melanoma
6.596257185,Metastatic Melanoma
6.563142466,Metastatic Melanoma
6.869372227,Metastatic Melanoma
6.356155542,Metastatic Melanoma
6.495409633,Metastatic Melanoma
6.507361604,Metastatic Melanoma
6.124418683,Metastatic Melanoma
6.163393464,Metastatic Melanoma
6.676192422,Metastatic Melanoma
6.261214454,Metastatic Melanoma
6.907134496,Metastatic Melanoma
6.18443024,Metastatic Melanoma
6.881134784,Metastatic Melanoma
6.597898541,Metastatic Melanoma
6.689501574,Metastatic Melanoma
6.523483419,Metastatic Melanoma
6.158861225,Nevus
6.221502862,Nevus
6.093462939,Nevus
7.088443879,Nevus
6.319908199,Nevus
6.718240787,Nevus
6.070765976,Nevus
6.825341586,Nevus
6.806823433,Primary Melanoma
6.152583229,Primary Melanoma
6.913025931,Primary Melanoma
6.589680238,Primary Melanoma
6.370652703,Primary Melanoma
6.754933815,Primary Melanoma
6.804715238,Primary Melanoma
6.611690967,Primary Melanoma
6.567584413,Primary Melanoma
6.466884217,Primary Melanoma
6.496317697,Primary Melanoma
5.715833264,Primary Melanoma
6.938547759,Primary Melanoma
6.837382411,Primary Melanoma
5.973878865,Primary Melanoma
6.697777761,Primary Melanoma
6.405567454,Primary Melanoma
6.722348435,Primary Melanoma
6.228386412,Primary Melanoma
6.622903212,Primary Melanoma
6.000793129,Primary Melanoma
6.43166829,Primary Melanoma
6.749328534,Primary Melanoma
5.567434186,Primary Melanoma
6.531611219,Primary Melanoma
6.738443813,Primary Melanoma
7.358457425,Primary Melanoma
7.412859925,Primary Melanoma
6.813406951,Primary Melanoma
6.483915831,Primary Melanoma
6.829485535,Primary Melanoma
