Study,SIN3B 201,SIN3B 209,SIN3B 202,SIN3B 208,SIN3B 206
TCGA,52.65,13.43,11.11,3.95,2.76
TCGA,52.32,12.29,2.83,5.52,7.21
TCGA,52.31,6.17,1.17,6.85,5.37
TCGA,52,16.78,4.08,5.09,3.48
TCGA,50.91,6.86,8.4,8.7,7.38
TCGA,50.8,4.71,7.24,5.6,8.38
TCGA,50.71,35.37,5.94,4.11,0.34
TCGA,50.46,14.45,8.35,7.99,4.23
TCGA,50.36,7.84,18.45,4.27,5.7
TCGA,50.32,5.85,0.94,2.42,3.29
TCGA,49.97,31.81,11.69,3.92,0.84
TCGA,49.82,25.18,5.11,3.88,2.36
TCGA,49.8,19.37,7.88,3.55,1.58
TCGA,49.54,6.08,4.22,5.23,7.98
TCGA,48.91,26.33,4.19,4.1,3.38
TCGA,48.79,12.41,9.57,5.14,7.02
TCGA,48.45,27.63,4.18,5.79,2.23
TCGA,47.27,21.27,12.51,6.94,4.74
TCGA,46.31,27.26,15.65,4.61,1.27
TCGA,46.16,38.46,8.71,0.66,1.57
TCGA,45.21,36.74,4.04,4.81,1.31
TCGA,45.04,8.63,9.35,7.56,8.69
TCGA,44.57,12.03,14.09,4.85,4.18
TCGA,44.27,10.77,13.85,9.31,4.42
TCGA,42.81,32.39,4.18,7.49,3.32
TCGA,42.64,7.07,13.99,12.97,9.25
TCGA,42.42,29.74,11.94,6.29,2.69
TCGA,42.24,29.59,9.83,5.48,2.54
TCGA,42.19,22.51,7.55,9.76,3.74
TCGA,41.95,20.24,19.8,4.18,1.6
TCGA,41.94,38.25,3.07,9.61,1.81
TCGA,41.24,7.08,13.28,8.68,7.99
TCGA,41.05,29.68,8.4,5.18,3.1
TCGA,39.71,32.17,7.36,7.11,3.56
TCGA,38.48,23.82,10.44,6.05,3.22
TCGA,35.67,41.67,9.71,4.33,2.4
TCGA,31.42,11.43,17.36,11.1,8.25
